request_id,department,severity,first_response_hours,resolution_hours,csat_score,reopened,created_at
R001,Billing,Critical,1.2,8,5,No,2026-06-01
R002,Technical,High,3.5,20,4,No,2026-06-01
R003,Access,Medium,7.0,14,4,No,2026-06-02
R004,Billing,Low,14.0,30,2,Yes,2026-06-03
R005,Technical,Critical,2.5,11,3,Yes,2026-06-04
R006,Access,High,2.0,9,5,No,2026-06-05
R007,Billing,Medium,6.0,16,4,No,2026-06-06
R008,Technical,Low,9.0,18,5,No,2026-06-07
R009,Access,Critical,0.8,7,5,No,2026-06-08
R010,Billing,High,5.5,25,3,Yes,2026-06-09
R011,Technical,Medium,8.0,32,2,Yes,2026-06-10
R012,Access,Low,11.0,22,4,No,2026-06-11
R013,Billing,Critical,1.8,10,4,No,2026-06-12
R014,Technical,High,4.0,15,4,No,2026-06-13
R015,Access,Medium,9.5,28,3,Yes,2026-06-14
R016,Billing,Low,6.5,12,5,No,2026-06-15
R017,Technical,Critical,1.0,6,5,No,2026-06-16
R018,Access,High,4.8,21,3,Yes,2026-06-17
R019,Billing,Medium,4.5,13,4,No,2026-06-18
R020,Technical,Low,13.0,35,2,Yes,2026-06-19
R021,Access,Critical,2.0,9,4,No,2026-06-20
R022,Billing,High,3.0,18,5,No,2026-06-21
R023,Technical,Medium,5.5,17,4,No,2026-06-22
R024,Access,Low,12.0,26,3,No,2026-06-23
