Issue category,Affected sheet(s),Seeded count,Severity,Potential impact,Suggested detection/cleaning
Mixed/invalid time-entry dates,Raw_Time_Entries,110,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Mixed/invalid review dates,Raw_Reviews,72,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Duplicate time-entry rows,Multiple raw sheets,70,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Time-entry flag inconsistency,Raw_Time_Entries,70,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot date format/missing issues,Raw_Shots,60,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Time-entry hours type/range issues,Raw_Time_Entries,52,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Review outcome inconsistency,Raw_Reviews,45,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Time-entry shot-key issues,Raw_Time_Entries,45,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Revision-count reconciliation issues,Raw_Shots / Raw_Reviews,42,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Duplicate review rows,Multiple raw sheets,40,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Time-entry project-key issues,Raw_Time_Entries,38,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Review response-time issues,Raw_Reviews,36,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Review-round type/range issues,Raw_Reviews,36,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Review shot-key issues,Raw_Reviews,35,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Time-entry artist-key issues,Raw_Time_Entries,32,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Review project-key issues,Raw_Reviews,25,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Duplicate shot rows,Multiple raw sheets,24,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot status inconsistency,Raw_Shots,24,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot missing descriptive values,Raw_Shots,20,Low,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Actual-hours type/range issues,Multiple raw sheets,18,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Estimated-hours type/range issues,Multiple raw sheets,18,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot project-key issues,Raw_Shots,18,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot artist-key issues,Raw_Shots,16,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot department inconsistency,Raw_Shots,16,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Shot impossible date order,Raw_Shots,12,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Artist capacity type/range issues,Raw_Artists,4,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Artist cost type/range issues,Raw_Artists,4,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Artist department inconsistency,Raw_Artists,4,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Mixed project date formats,Multiple raw sheets,4,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Artist active-flag inconsistency,Raw_Artists,3,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Boolean flag inconsistency,Multiple raw sheets,3,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Project budget type/range issues,Raw_Projects,3,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Artist email missing/duplicate,Raw_Artists,2,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Client name whitespace/case inconsistency,Raw_Clients,2,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Duplicate artist rows,Multiple raw sheets,2,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Duplicate client rows,Multiple raw sheets,2,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Project foreign-key issues,Raw_Projects,2,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Project status inconsistency,Raw_Projects,2,Medium,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Duplicate project rows,Multiple raw sheets,1,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Project date-order issue,Raw_Projects,1,High,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
Region label inconsistency,Multiple raw sheets,1,Low,"Can distort joins, dates, rates, utilization, or KPI calculations.","Profile values, standardize types/categories, validate ranges, deduplicate, and reconcile keys."
